City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Adrar,MR,20.5022,-10.0711,101.26,17,71,5.53,broken clouds
128,Sault Sainte Marie,CA,46.5168,-84.3333,66.49,76,100,5.75,overcast clouds
129,Birjand,IR,32.8663,59.2211,75.67,22,0,9.22,clear sky
130,Huixtla,MX,15.15,-92.4667,84.9,78,97,5.03,overcast clouds
131,Kodiak,US,57.79,-152.4072,62.11,55,0,5.75,clear sky
132,Guiratinga,BR,-16.3494,-53.7583,86.95,25,86,4.79,overcast clouds
133,Santa Ana,US,33.7456,-117.8678,108.07,35,40,12.66,scattered clouds
134,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,89,16,14.94,few clouds
135,Severo-Kurilsk,RU,50.6789,156.125,57.69,88,22,6.49,few clouds
136,Port Keats,AU,-14.25,129.55,72.91,69,100,5.73,overcast clouds
137,Anuchino,RU,43.9622,133.0544,73.27,98,100,3.13,overcast clouds
138,Castro,BR,-24.7911,-50.0119,57.47,95,100,4.07,moderate rain
139,Saint-Pierre,RE,-21.3393,55.4781,67.68,73,75,6.91,broken clouds
140,Huarmey,PE,-10.0681,-78.1522,64.87,78,69,12.84,broken clouds
141,Linxia,CN,35.6003,103.2064,67.26,73,50,2.3,scattered clouds
142,Kovylkino,RU,54.0388,43.9139,66.42,57,6,3.94,clear sky
143,Salalah,OM,17.0151,54.0924,75.29,100,100,3.44,light intensity drizzle
144,Bima,ID,-8.4667,118.7167,72.52,95,48,4.12,scattered clouds
145,Roald,NO,62.5833,6.1333,59.76,94,75,8.05,broken clouds
146,Coolum Beach,AU,-26.5333,153.1,56.1,69,0,6.53,clear sky
147,Dzaoudzi,YT,-12.7887,45.2699,69.69,94,0,1.14,clear sky
148,Akyab,MM,20.15,92.9,80.28,88,100,11.32,overcast clouds
149,Ahipara,NZ,-35.1667,173.1667,58.24,85,12,7.67,few clouds
150,Komsomolskiy,UZ,40.4272,71.7189,79.23,25,6,2.98,clear sky
151,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,32,6.85,light rain
152,Kiunga,PG,-6.1219,141.2906,72.86,99,80,3.06,heavy intensity rain
153,Shimoda,JP,34.6667,138.95,83.1,82,33,8.81,scattered clouds
154,Kahului,US,20.8947,-156.47,91.42,40,20,18.41,few clouds
155,Damietta,EG,31.4165,31.8133,78.69,64,0,5.08,clear sky
156,Vardo,NO,70.3705,31.1107,48.18,87,100,10.36,overcast clouds
157,San Rafael,AR,-34.6177,-68.3301,35.91,99,100,9.8,overcast clouds
158,Airai,TL,-8.9266,125.4092,57.42,57,15,3.02,few clouds
159,Dabakala,CI,8.3667,-4.4333,75.97,68,78,5.77,broken clouds
160,Sioux Lookout,CA,50.1001,-91.917,68.07,52,75,6.91,broken clouds
161,Kocsord,HU,47.9391,22.3833,68.13,80,20,8.55,few clouds
162,Ust-Kuyga,RU,70.0167,135.6,60.04,73,100,8.48,overcast clouds
163,Crestview,US,30.7621,-86.5705,90.77,65,75,10.36,broken clouds
164,Lae,PG,-6.7221,146.9847,74.07,65,21,5.23,light rain
165,Ola,RU,59.5833,151.2833,57.43,75,78,2.53,broken clouds
166,Kem,RU,64.9555,34.5793,52.79,75,40,9.95,scattered clouds
167,Dariba,IN,24.95,74.1333,77.94,85,97,1.05,overcast clouds
168,Sarahan,IN,31.5167,77.8,65.07,86,100,3.06,overcast clouds
169,Dakoro,NE,14.5106,6.765,89.74,48,81,13.31,broken clouds
170,New Norfolk,AU,-42.7826,147.0587,34.72,88,12,2.62,few clouds
171,Hay River,CA,60.8156,-115.7999,62.58,72,75,8.05,broken clouds
172,Alice Springs,AU,-23.7,133.8833,33.35,69,0,0.0,clear sky
173,Bambous Virieux,MU,-20.3428,57.7575,66.22,94,75,5.75,broken clouds
174,Bardiyah,LY,31.7561,25.0865,78.04,75,0,14.72,clear sky
175,Milove,UA,49.3787,40.1302,71.08,36,39,8.3,scattered clouds
176,Galesong,ID,-5.3166,119.3661,73.42,83,65,7.99,broken clouds
177,Datong,CN,40.0936,113.2914,73.49,58,85,7.54,overcast clouds
178,Bilma,NE,18.6853,12.9164,94.51,29,23,9.22,few clouds
179,Guerrero Negro,MX,27.9769,-114.0611,86.31,55,95,14.63,overcast clouds
180,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,71,100,4.61,overcast clouds
181,Hobart,AU,-42.8794,147.3294,35.06,97,20,6.91,few clouds
182,Kruisfontein,ZA,-34.0033,24.7314,57.88,89,83,7.94,light rain
183,Lebu,CL,-37.6167,-73.65,46.85,85,100,8.99,overcast clouds
184,Jiguani,CU,20.3667,-76.4272,91.18,61,32,14.25,scattered clouds
185,Jinchang,CN,38.4953,102.1739,70.21,50,36,2.77,scattered clouds
186,Samarai,PG,-10.6167,150.6667,80.1,75,55,13.71,broken clouds
187,Mahibadhoo,MV,3.7833,72.9667,81.36,77,99,13.82,overcast clouds
188,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,40,4.61,scattered clouds
189,Paamiut,GL,61.994,-49.6678,43.3,88,3,18.92,clear sky
190,Boden,SE,65.8252,21.6886,51.8,73,92,5.82,overcast clouds
191,Atar,MR,20.5169,-13.0499,99.39,26,6,15.79,clear sky
192,Beringovskiy,RU,63.05,179.3167,44.37,61,31,27.56,scattered clouds
193,Saldanha,ZA,-33.0117,17.9442,55.45,94,31,13.82,scattered clouds
194,Mahon,ES,39.8885,4.2658,81.16,74,0,5.75,clear sky
195,Itirucu,BR,-13.5317,-40.1503,65.1,76,91,5.61,overcast clouds
196,Guaratinga,BR,-16.5667,-39.5667,69.04,84,24,4.85,few clouds
197,Fairbanks,US,64.8378,-147.7164,57.22,68,0,5.75,clear sky
198,Qaanaaq,GL,77.484,-69.3632,44.56,53,4,4.72,clear sky
199,Isangel,VU,-19.55,169.2667,77.11,94,100,4.61,overcast clouds
200,Cuaspud,CO,0.8628,-77.7263,57.04,62,20,12.66,few clouds
201,Hasaki,JP,35.7333,140.8333,81.0,87,9,12.1,clear sky
202,Okhotsk,RU,59.3833,143.3,55.45,83,100,9.78,overcast clouds
203,Boda,CF,4.3189,17.4695,68.25,97,100,2.89,overcast clouds
204,Cherskiy,RU,68.75,161.3,44.2,60,94,1.92,overcast clouds
205,Burnie,AU,-41.0667,145.9167,42.93,83,16,7.76,few clouds
206,Businga,CD,3.3333,20.8833,70.65,99,97,2.46,overcast clouds
207,Sur,OM,22.5667,59.5289,86.77,63,58,7.52,broken clouds
208,Najran,SA,17.4924,44.1277,83.05,44,9,7.18,clear sky
209,Srandakan,ID,-7.9386,110.2506,74.88,86,94,4.23,overcast clouds
210,Manakara,MG,-22.1333,48.0167,62.82,93,3,3.89,clear sky
211,Bonfim,BR,3.0833,-59.95,89.55,61,87,3.13,overcast clouds
212,Provideniya,RU,64.3833,-173.3,42.91,87,100,20.13,overcast clouds
213,Tasiilaq,GL,65.6145,-37.6368,46.56,96,100,4.32,light rain
214,Kaseda,JP,31.4167,130.3167,82.58,80,48,2.98,scattered clouds
215,Sakakah,SA,29.9697,40.2064,99.97,21,75,7.78,broken clouds
216,Emerald,AU,-23.5333,148.1667,50.34,68,0,14.47,clear sky
217,Yumen,CN,40.2833,97.2,70.34,49,87,7.54,overcast clouds
218,Toma,BF,12.7667,-2.8833,83.19,60,3,8.93,clear sky
219,Grindavik,IS,63.8424,-22.4338,51.75,93,75,14.97,broken clouds
220,Belmonte,BR,-15.8631,-38.8828,72.79,75,15,8.59,few clouds
221,Phan Thiet,VN,10.9333,108.1,76.62,81,100,9.89,light rain
222,Rawson,AR,-43.3002,-65.1023,42.51,74,100,9.22,overcast clouds
223,Avarua,CK,-21.2078,-159.775,75.25,64,75,20.71,broken clouds
224,Mitu,CO,1.1983,-70.1733,76.35,88,65,2.73,broken clouds
225,Dukat,RU,62.55,155.55,66.94,57,89,4.32,overcast clouds
226,Inirida,CO,3.8653,-67.9239,80.29,78,96,1.45,overcast clouds
227,Frutal,BR,-20.0247,-48.9406,80.42,28,76,3.22,broken clouds
228,Port Hedland,AU,-20.3167,118.5667,53.65,62,0,8.05,clear sky
229,Bisira,PA,8.5196,-81.7115,62.29,97,100,2.53,overcast clouds
230,Henties Bay,NA,-22.116,14.2845,55.62,87,41,8.86,scattered clouds
231,Beneditinos,BR,-5.45,-42.3667,83.84,30,6,4.0,clear sky
232,Amahai,ID,-3.3333,128.9167,75.96,89,91,3.67,overcast clouds
