City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
140,Huarmey,PE,64.87,broken clouds,-10.0681,-78.1522,Hotel Miramar
141,Linxia,CN,67.26,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
142,Kovylkino,RU,66.42,clear sky,54.0388,43.9139,Moksha
143,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
144,Bima,ID,72.52,scattered clouds,-8.4667,118.7167,Lambitu Hotel
145,Roald,NO,59.76,broken clouds,62.5833,6.1333,Flem Cabins
146,Coolum Beach,AU,56.1,clear sky,-26.5333,153.1,Coolum Beach Resort
147,Dzaoudzi,YT,69.69,clear sky,-12.7887,45.2699,Le Rocher
148,Akyab,MM,80.28,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
149,Ahipara,NZ,58.24,few clouds,-35.1667,173.1667,Ahipara Holiday Park
150,Komsomolskiy,UZ,79.23,clear sky,40.4272,71.7189,Ikathouse
151,Vila Franca Do Campo,PT,72.01,light rain,37.7167,-25.4333,Pestana Bahia Praia
152,Kiunga,PG,72.86,heavy intensity rain,-6.1219,141.2906,Airport Lodge Kiunga
153,Shimoda,JP,83.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
154,Kahului,US,91.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
155,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
156,Vardo,NO,48.18,overcast clouds,70.3705,31.1107,Vardø Hotel AS
157,San Rafael,AR,35.91,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
159,Dabakala,CI,75.97,broken clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
160,Sioux Lookout,CA,68.07,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
161,Kocsord,HU,68.13,few clouds,47.9391,22.3833,Nature Centrum Vendégház
